rep	le	in	ks1	ks2	epochs	acc	
 4	0	0	3	3	5	0.9081 
 4	0	0	3	3	10	0.9279 
 4	0	0	3	3	20	0.9445 
 4	0	0	3	8	5	0.9205 
 4	0	0	3	8	10	0.9428 
 4	0	0	3	8	20	0.9583 
 4	0	0	8	3	5	0.9295 
 4	0	0	8	3	10	0.9489 
 4	0	0	8	3	20	0.9622 
 4	0	0	8	8	5	0.9316 
 4	0	0	8	8	10	0.9507 
 4	0	0	8	8	20	0.9626 
 4	0	20	3	3	5	0.903 
 4	0	20	3	3	10	0.9291 
 4	0	20	3	3	20	0.9488 
 4	0	20	3	8	5	0.9111 
 4	0	20	3	8	10	0.941 
 4	0	20	3	8	20	0.9573 
 4	0	20	8	3	5	0.9095 
 4	0	20	8	3	10	0.9349 
 4	0	20	8	3	20	0.9554 
 4	0	20	8	8	5	0.9203 
 4	0	20	8	8	10	0.942 
 4	0	20	8	8	20	0.9553 
 4	0	40	3	3	5	0.8946 
 4	0	40	3	3	10	0.9165 
 4	0	40	3	3	20	0.9344 
 4	0	40	3	8	5	0.8983 
 4	0	40	3	8	10	0.9275 
 4	0	40	3	8	20	0.9458 
 4	0	40	8	3	5	0.8979 
 4	0	40	8	3	10	0.9239 
 4	0	40	8	3	20	0.9455 
 4	0	40	8	8	5	0.9118 
 4	0	40	8	8	10	0.9387 
 4	0	40	8	8	20	0.9524 
 4	20	0	3	3	5	0.898 
 4	20	0	3	3	10	0.9262 
 4	20	0	3	3	20	0.9506 
 4	20	0	3	8	5	0.9142 
 4	20	0	3	8	10	0.9358 
 4	20	0	3	8	20	0.9494 
 4	20	0	8	3	5	0.9184 
 4	20	0	8	3	10	0.9389 
 4	20	0	8	3	20	0.9556 
 4	20	0	8	8	5	0.9163 
 4	20	0	8	8	10	0.9379 
 4	20	0	8	8	20	0.9519 
 4	20	20	3	3	5	0.8868 
 4	20	20	3	3	10	0.9218 
 4	20	20	3	3	20	0.9433 
 4	20	20	3	8	5	0.8946 
 4	20	20	3	8	10	0.9219 
 4	20	20	3	8	20	0.9375 
 4	20	20	8	3	5	0.8912 
 4	20	20	8	3	10	0.9184 
 4	20	20	8	3	20	0.9352 
 4	20	20	8	8	5	0.8956 
 4	20	20	8	8	10	0.9261 
 4	20	20	8	8	20	0.9464 
 4	20	40	3	3	5	0.8971 
 4	20	40	3	3	10	0.9203 
 4	20	40	3	3	20	0.9355 
 4	20	40	3	8	5	0.8954 
 4	20	40	3	8	10	0.9193 
 4	20	40	3	8	20	0.9369 
 4	20	40	8	3	5	0.9081 
 4	20	40	8	3	10	0.9253 
 4	20	40	8	3	20	0.9439 
 4	20	40	8	8	5	0.9006 
 4	20	40	8	8	10	0.925 
 4	20	40	8	8	20	0.9432 
 4	40	0	3	3	5	0.8864 
 4	40	0	3	3	10	0.9108 
 4	40	0	3	3	20	0.9303 
 4	40	0	3	8	5	0.8976 
 4	40	0	3	8	10	0.9234 
 4	40	0	3	8	20	0.9375 
 4	40	0	8	3	5	0.8976 
 4	40	0	8	3	10	0.9189 
 4	40	0	8	3	20	0.9367 
 4	40	0	8	8	5	0.8779 
 4	40	0	8	8	10	0.9207 
 4	40	0	8	8	20	0.9446 
 4	40	20	3	3	5	0.8787 
 4	40	20	3	3	10	0.9025 
 4	40	20	3	3	20	0.9214 
 4	40	20	3	8	5	0.8859 
 4	40	20	3	8	10	0.9078 
 4	40	20	3	8	20	0.9215 
 4	40	20	8	3	5	0.8846 
 4	40	20	8	3	10	0.9088 
 4	40	20	8	3	20	0.9322 
 4	40	20	8	8	5	0.8799 
 4	40	20	8	8	10	0.9123 
 4	40	20	8	8	20	0.9299 
 4	40	40	3	3	5	0.8716 
 4	40	40	3	3	10	0.8985 
 4	40	40	3	3	20	0.9175 
 4	40	40	3	8	5	0.8629 
 4	40	40	3	8	10	0.8945 
 4	40	40	3	8	20	0.9148 
 4	40	40	8	3	5	0.8797 
 4	40	40	8	3	10	0.9086 
 4	40	40	8	3	20	0.9261 
 4	40	40	8	8	5	0.8713 
 4	40	40	8	8	10	0.9149 
 4	40	40	8	8	20	0.9309 
