rep	le	noise	ks1	ks2	epochs	acc
 2	0	0	3	3	5	0.9273 
 2	0	0	3	3	10	0.9482 
 2	0	0	3	3	20	0.9602 
 2	0	0	3	8	5	0.9164 
 2	0	0	3	8	10	0.9397 
 2	0	0	3	8	20	0.9575 
 2	0	0	8	3	5	0.9232 
 2	0	0	8	3	10	0.9454 
 2	0	0	8	3	20	0.9603 
 2	0	0	8	8	5	0.9356 
 2	0	0	8	8	10	0.956 
 2	0	0	8	8	20	0.9664 
 2	0	20	3	3	5	0.9045 
 2	0	20	3	3	10	0.9277 
 2	0	20	3	3	20	0.9477 
 2	0	20	3	8	5	0.9126 
 2	0	20	3	8	10	0.9358 
 2	0	20	3	8	20	0.9514 
 2	0	20	8	3	5	0.9167 
 2	0	20	8	3	10	0.9405 
 2	0	20	8	3	20	0.9561 
 2	0	20	8	8	5	0.9191 
 2	0	20	8	8	10	0.9408 
 2	0	20	8	8	20	0.9567 
 2	0	40	3	3	5	0.8991 
 2	0	40	3	3	10	0.9193 
 2	0	40	3	3	20	0.936 
 2	0	40	3	8	5	0.9014 
 2	0	40	3	8	10	0.9258 
 2	0	40	3	8	20	0.9427 
 2	0	40	8	3	5	0.9099 
 2	0	40	8	3	10	0.9325 
 2	0	40	8	3	20	0.947 
 2	0	40	8	8	5	0.911 
 2	0	40	8	8	10	0.943 
 2	0	40	8	8	20	0.9581 
 2	20	0	3	3	5	0.9009 
 2	20	0	3	3	10	0.9229 
 2	20	0	3	3	20	0.9439 
 2	20	0	3	8	5	0.9064 
 2	20	0	3	8	10	0.9297 
 2	20	0	3	8	20	0.9448 
 2	20	0	8	3	5	0.9132 
 2	20	0	8	3	10	0.9363 
 2	20	0	8	3	20	0.9529 
 2	20	0	8	8	5	0.9187 
 2	20	0	8	8	10	0.9396 
 2	20	0	8	8	20	0.9535 
 2	20	20	3	3	5	0.8923 
 2	20	20	3	3	10	0.9151 
 2	20	20	3	3	20	0.9365 
 2	20	20	3	8	5	0.8994 
 2	20	20	3	8	10	0.9237 
 2	20	20	3	8	20	0.9413 
 2	20	20	8	3	5	0.9059 
 2	20	20	8	3	10	0.93 
 2	20	20	8	3	20	0.9469 
 2	20	20	8	8	5	0.9012 
 2	20	20	8	8	10	0.9297 
 2	20	20	8	8	20	0.9502 
 2	20	40	3	3	5	0.8941 
 2	20	40	3	3	10	0.9189 
 2	20	40	3	3	20	0.9389 
 2	20	40	3	8	5	0.8862 
 2	20	40	3	8	10	0.9135 
 2	20	40	3	8	20	0.9283 
 2	20	40	8	3	5	0.8952 
 2	20	40	8	3	10	0.9191 
 2	20	40	8	3	20	0.9391 
 2	20	40	8	8	5	0.9082 
 2	20	40	8	8	10	0.9278 
 2	20	40	8	8	20	0.9391 
 2	40	0	3	3	5	0.8813 
 2	40	0	3	3	10	0.9093 
 2	40	0	3	3	20	0.9297 
 2	40	0	3	8	5	0.8787 
 2	40	0	3	8	10	0.9044 
 2	40	0	3	8	20	0.9293 
 2	40	0	8	3	5	0.8845 
 2	40	0	8	3	10	0.912 
 2	40	0	8	3	20	0.9308 
 2	40	0	8	8	5	0.8918 
 2	40	0	8	8	10	0.9233 
 2	40	0	8	8	20	0.9401 
 2	40	20	3	3	5	0.8715 
 2	40	20	3	3	10	0.901 
 2	40	20	3	3	20	0.9238 
 2	40	20	3	8	5	0.889 
 2	40	20	3	8	10	0.9178 
 2	40	20	3	8	20	0.9335 
 2	40	20	8	3	5	0.8916 
 2	40	20	8	3	10	0.9176 
 2	40	20	8	3	20	0.9334 
 2	40	20	8	8	5	0.8838 
 2	40	20	8	8	10	0.9128 
 2	40	20	8	8	20	0.9333 
 2	40	40	3	3	5	0.8635 
 2	40	40	3	3	10	0.8917 
 2	40	40	3	3	20	0.9172 
 2	40	40	3	8	5	0.869 
 2	40	40	3	8	10	0.9056 
 2	40	40	3	8	20	0.9285 
 2	40	40	8	3	5	0.8712 
 2	40	40	8	3	10	0.894 
 2	40	40	8	3	20	0.9143 
 2	40	40	8	8	5	0.8809 
 2	40	40	8	8	10	0.9104 
 2	40	40	8	8	20	0.925 
 3	0	0	3	3	5	0.9149 
 3	0	0	3	3	10	0.9375 
 3	0	0	3	3	20	0.9555 
 3	0	0	3	8	5	0.9235 
 3	0	0	3	8	10	0.9448 
 3	0	0	3	8	20	0.9589 
 3	0	0	8	3	5	0.927 
 3	0	0	8	3	10	0.9437 
 3	0	0	8	3	20	0.9587 
 3	0	0	8	8	5	0.9242 
 3	0	0	8	8	10	0.9487 
 3	0	0	8	8	20	0.9619 
 3	0	20	3	3	5	0.9064 
 3	0	20	3	3	10	0.9293 
 3	0	20	3	3	20	0.9476 
 3	0	20	3	8	5	0.9098 
 3	0	20	3	8	10	0.933 
 3	0	20	3	8	20	0.9508 
 3	0	20	8	3	5	0.9186 
 3	0	20	8	3	10	0.9379 
 3	0	20	8	3	20	0.9519 
 3	0	20	8	8	5	0.9251 
 3	0	20	8	8	10	0.9461 
 3	0	20	8	8	20	0.9583 
 3	0	40	3	3	5	0.9003 
 3	0	40	3	3	10	0.9305 
 3	0	40	3	3	20	0.9501 
 3	0	40	3	8	5	0.9056 
 3	0	40	3	8	10	0.9316 
 3	0	40	3	8	20	0.9497 
 3	0	40	8	3	5	0.9096 
 3	0	40	8	3	10	0.9344 
 3	0	40	8	3	20	0.9518 
 3	0	40	8	8	5	0.9144 
 3	0	40	8	8	10	0.9416 
 3	0	40	8	8	20	0.9613 
 3	20	0	3	3	5	0.8825 
 3	20	0	3	3	10	0.9081 
 3	20	0	3	3	20	0.9279 
 3	20	0	3	8	5	0.914 
 3	20	0	3	8	10	0.9376 
 3	20	0	3	8	20	0.9511 
 3	20	0	8	3	5	0.9059 
 3	20	0	8	3	10	0.9304 
 3	20	0	8	3	20	0.9494 
 3	20	0	8	8	5	0.9141 
 3	20	0	8	8	10	0.9435 
 3	20	0	8	8	20	0.9574 
 3	20	20	3	3	5	0.908 
 3	20	20	3	3	10	0.9292 
 3	20	20	3	3	20	0.9468 
 3	20	20	3	8	5	0.9067 
 3	20	20	3	8	10	0.9242 
 3	20	20	3	8	20	0.9392 
 3	20	20	8	3	5	0.9095 
 3	20	20	8	3	10	0.9318 
 3	20	20	8	3	20	0.9477 
 3	20	20	8	8	5	0.9118 
 3	20	20	8	8	10	0.9344 
 3	20	20	8	8	20	0.9494 
 3	20	40	3	3	5	0.8918 
 3	20	40	3	3	10	0.9161 
 3	20	40	3	3	20	0.9347 
 3	20	40	3	8	5	0.8956 
 3	20	40	3	8	10	0.9221 
 3	20	40	3	8	20	0.937 
 3	20	40	8	3	5	0.8929 
 3	20	40	8	3	10	0.9185 
 3	20	40	8	3	20	0.9403 
 3	20	40	8	8	5	0.8923 
 3	20	40	8	8	10	0.921 
 3	20	40	8	8	20	0.9395 
 3	40	0	3	3	5	0.885 
 3	40	0	3	3	10	0.9157 
 3	40	0	3	3	20	0.9386 
 3	40	0	3	8	5	0.8892 
 3	40	0	3	8	10	0.9165 
 3	40	0	3	8	20	0.9341 
 3	40	0	8	3	5	0.8776 
 3	40	0	8	3	10	0.9031 
 3	40	0	8	3	20	0.9238 
 3	40	0	8	8	5	0.9039 
 3	40	0	8	8	10	0.9363 
 3	40	0	8	8	20	0.9519 
 3	40	20	3	3	5	0.8632 
 3	40	20	3	3	10	0.8924 
 3	40	20	3	3	20	0.9148 
 3	40	20	3	8	5	0.8702 
 3	40	20	3	8	10	0.8991 
 3	40	20	3	8	20	0.9172 
 3	40	20	8	3	5	0.8794 
 3	40	20	8	3	10	0.9044 
 3	40	20	8	3	20	0.9225 
 3	40	20	8	8	5	0.8822 
 3	40	20	8	8	10	0.9135 
 3	40	20	8	8	20	0.9312 
 3	40	40	3	3	5	0.871 
 3	40	40	3	3	10	0.8944 
 3	40	40	3	3	20	0.9166 
 3	40	40	3	8	5	0.8742 
 3	40	40	3	8	10	0.908 
 3	40	40	3	8	20	0.9269 
 3	40	40	8	3	5	0.8735 
 3	40	40	8	3	10	0.9007 
 3	40	40	8	3	20	0.9188 
 3	40	40	8	8	5	0.873 
 3	40	40	8	8	10	0.9071 
 3	40	40	8	8	20	0.9237 
 4	0	0	3	3	5	0.9081 
 4	0	0	3	3	10	0.9279 
 4	0	0	3	3	20	0.9445 
 4	0	0	3	8	5	0.9205 
 4	0	0	3	8	10	0.9428 
 4	0	0	3	8	20	0.9583 
 4	0	0	8	3	5	0.9295 
 4	0	0	8	3	10	0.9489 
 4	0	0	8	3	20	0.9622 
 4	0	0	8	8	5	0.9316 
 4	0	0	8	8	10	0.9507 
 4	0	0	8	8	20	0.9626 
 4	0	20	3	3	5	0.903 
 4	0	20	3	3	10	0.9291 
 4	0	20	3	3	20	0.9488 
 4	0	20	3	8	5	0.9111 
 4	0	20	3	8	10	0.941 
 4	0	20	3	8	20	0.9573 
 4	0	20	8	3	5	0.9095 
 4	0	20	8	3	10	0.9349 
 4	0	20	8	3	20	0.9554 
 4	0	20	8	8	5	0.9203 
 4	0	20	8	8	10	0.942 
 4	0	20	8	8	20	0.9553 
 4	0	40	3	3	5	0.8946 
 4	0	40	3	3	10	0.9165 
 4	0	40	3	3	20	0.9344 
 4	0	40	3	8	5	0.8983 
 4	0	40	3	8	10	0.9275 
 4	0	40	3	8	20	0.9458 
 4	0	40	8	3	5	0.8979 
 4	0	40	8	3	10	0.9239 
 4	0	40	8	3	20	0.9455 
 4	0	40	8	8	5	0.9118 
 4	0	40	8	8	10	0.9387 
 4	0	40	8	8	20	0.9524 
 4	20	0	3	3	5	0.898 
 4	20	0	3	3	10	0.9262 
 4	20	0	3	3	20	0.9506 
 4	20	0	3	8	5	0.9142 
 4	20	0	3	8	10	0.9358 
 4	20	0	3	8	20	0.9494 
 4	20	0	8	3	5	0.9184 
 4	20	0	8	3	10	0.9389 
 4	20	0	8	3	20	0.9556 
 4	20	0	8	8	5	0.9163 
 4	20	0	8	8	10	0.9379 
 4	20	0	8	8	20	0.9519 
 4	20	20	3	3	5	0.8868 
 4	20	20	3	3	10	0.9218 
 4	20	20	3	3	20	0.9433 
 4	20	20	3	8	5	0.8946 
 4	20	20	3	8	10	0.9219 
 4	20	20	3	8	20	0.9375 
 4	20	20	8	3	5	0.8912 
 4	20	20	8	3	10	0.9184 
 4	20	20	8	3	20	0.9352 
 4	20	20	8	8	5	0.8956 
 4	20	20	8	8	10	0.9261 
 4	20	20	8	8	20	0.9464 
 4	20	40	3	3	5	0.8971 
 4	20	40	3	3	10	0.9203 
 4	20	40	3	3	20	0.9355 
 4	20	40	3	8	5	0.8954 
 4	20	40	3	8	10	0.9193 
 4	20	40	3	8	20	0.9369 
 4	20	40	8	3	5	0.9081 
 4	20	40	8	3	10	0.9253 
 4	20	40	8	3	20	0.9439 
 4	20	40	8	8	5	0.9006 
 4	20	40	8	8	10	0.925 
 4	20	40	8	8	20	0.9432 
 4	40	0	3	3	5	0.8864 
 4	40	0	3	3	10	0.9108 
 4	40	0	3	3	20	0.9303 
 4	40	0	3	8	5	0.8976 
 4	40	0	3	8	10	0.9234 
 4	40	0	3	8	20	0.9375 
 4	40	0	8	3	5	0.8976 
 4	40	0	8	3	10	0.9189 
 4	40	0	8	3	20	0.9367 
 4	40	0	8	8	5	0.8779 
 4	40	0	8	8	10	0.9207 
 4	40	0	8	8	20	0.9446 
 4	40	20	3	3	5	0.8787 
 4	40	20	3	3	10	0.9025 
 4	40	20	3	3	20	0.9214 
 4	40	20	3	8	5	0.8859 
 4	40	20	3	8	10	0.9078 
 4	40	20	3	8	20	0.9215 
 4	40	20	8	3	5	0.8846 
 4	40	20	8	3	10	0.9088 
 4	40	20	8	3	20	0.9322 
 4	40	20	8	8	5	0.8799 
 4	40	20	8	8	10	0.9123 
 4	40	20	8	8	20	0.9299 
 4	40	40	3	3	5	0.8716 
 4	40	40	3	3	10	0.8985 
 4	40	40	3	3	20	0.9175 
 4	40	40	3	8	5	0.8629 
 4	40	40	3	8	10	0.8945 
 4	40	40	3	8	20	0.9148 
 4	40	40	8	3	5	0.8797 
 4	40	40	8	3	10	0.9086 
 4	40	40	8	3	20	0.9261 
 4	40	40	8	8	5	0.8713 
 4	40	40	8	8	10	0.9149 
 4	40	40	8	8	20	0.9309 
 5	0	0	3	3	5	0.9032 
 5	0	0	3	3	10	0.9277 
 5	0	0	3	3	20	0.947 
 5	0	0	3	8	5	0.9096 
 5	0	0	3	8	10	0.9337 
 5	0	0	3	8	20	0.9519 
 5	0	0	8	3	5	0.9111 
 5	0	0	8	3	10	0.9354 
 5	0	0	8	3	20	0.9552 
 5	0	0	8	8	5	0.9361 
 5	0	0	8	8	10	0.9543 
 5	0	0	8	8	20	0.9639 
 5	0	20	3	3	5	0.8945 
 5	0	20	3	3	10	0.9196 
 5	0	20	3	3	20	0.94 
 5	0	20	3	8	5	0.9139 
 5	0	20	3	8	10	0.936 
 5	0	20	3	8	20	0.9531 
 5	0	20	8	3	5	0.9131 
 5	0	20	8	3	10	0.9346 
 5	0	20	8	3	20	0.9514 
 5	0	20	8	8	5	0.9225 
 5	0	20	8	8	10	0.9466 
 5	0	20	8	8	20	0.96 
 5	0	40	3	3	5	0.9019 
 5	0	40	3	3	10	0.9277 
 5	0	40	3	3	20	0.9467 
 5	0	40	3	8	5	0.9091 
 5	0	40	3	8	10	0.934 
 5	0	40	3	8	20	0.952 
 5	0	40	8	3	5	0.9185 
 5	0	40	8	3	10	0.94 
 5	0	40	8	3	20	0.9532 
 5	0	40	8	8	5	0.9159 
 5	0	40	8	8	10	0.9385 
 5	0	40	8	8	20	0.9536 
 5	20	0	3	3	5	0.8974 
 5	20	0	3	3	10	0.9229 
 5	20	0	3	3	20	0.9465 
 5	20	0	3	8	5	0.914 
 5	20	0	3	8	10	0.9352 
 5	20	0	3	8	20	0.9522 
 5	20	0	8	3	5	0.9096 
 5	20	0	8	3	10	0.9324 
 5	20	0	8	3	20	0.953 
 5	20	0	8	8	5	0.9204 
 5	20	0	8	8	10	0.9426 
 5	20	0	8	8	20	0.9552 
 5	20	20	3	3	5	0.8889 
 5	20	20	3	3	10	0.9088 
 5	20	20	3	3	20	0.9287 
 5	20	20	3	8	5	0.8962 
 5	20	20	3	8	10	0.9182 
 5	20	20	3	8	20	0.9372 
 5	20	20	8	3	5	0.9018 
 5	20	20	8	3	10	0.9227 
 5	20	20	8	3	20	0.9406 
 5	20	20	8	8	5	0.9143 
 5	20	20	8	8	10	0.938 
 5	20	20	8	8	20	0.9513 
 5	20	40	3	3	5	0.8858 
 5	20	40	3	3	10	0.9109 
 5	20	40	3	3	20	0.9296 
 5	20	40	3	8	5	0.8839 
 5	20	40	3	8	10	0.9104 
 5	20	40	3	8	20	0.9267 
 5	20	40	8	3	5	0.9023 
 5	20	40	8	3	10	0.9293 
 5	20	40	8	3	20	0.948 
 5	20	40	8	8	5	0.8983 
 5	20	40	8	8	10	0.9198 
 5	20	40	8	8	20	0.9322 
 5	40	0	3	3	5	0.8735 
 5	40	0	3	3	10	0.907 
 5	40	0	3	3	20	0.931 
 5	40	0	3	8	5	0.9416 
 5	40	0	3	8	10	0.9555 
 5	40	0	3	8	20	0.9547 
 5	40	0	8	3	5	0.8996 
 5	40	0	8	3	10	0.9243 
 5	40	0	8	3	20	0.9442 
 5	40	0	8	8	5	0.9016 
 5	40	0	8	8	10	0.9259 
 5	40	0	8	8	20	0.9469 
 5	40	20	3	3	5	0.8721 
 5	40	20	3	3	10	0.894 
 5	40	20	3	3	20	0.9143 
 5	40	20	3	8	5	0.8723 
 5	40	20	3	8	10	0.8955 
 5	40	20	3	8	20	0.9187 
 5	40	20	8	3	5	0.8827 
 5	40	20	8	3	10	0.9123 
 5	40	20	8	3	20	0.9317 
 5	40	20	8	8	5	0.883 
 5	40	20	8	8	10	0.9154 
 5	40	20	8	8	20	0.931 
 5	40	40	3	3	5	0.8622 
 5	40	40	3	3	10	0.894 
 5	40	40	3	3	20	0.9214 
 5	40	40	3	8	5	0.8726 
 5	40	40	3	8	10	0.9047 
 5	40	40	3	8	20	0.9259 
 5	40	40	8	3	5	0.8782 
 5	40	40	8	3	10	0.8994 
 5	40	40	8	3	20	0.9171 
 5	40	40	8	8	5	0.8729 
 5	40	40	8	8	10	0.9068 
 5	40	40	8	8	20	0.927 
